branch,college_tier,cgpa,internships,projects_count,certifications,salary_package_lpa,skill,placed_3m,placed_6m,placed_12m,industry_demand
3,1,7.3,2,3,3,17.69,6,1,1,1,2
1,2,8.57,0,1,0,15.53,5,1,1,1,3
4,3,7.42,1,4,1,21.29,6,1,1,1,5
1,2,7.45,1,2,1,16.98,6,1,1,1,3
3,1,7.3,0,3,1,12.79,6,1,1,1,2
4,1,6.51,1,2,1,14.25,5,1,1,1,5
3,1,5.74,0,2,2,12.9,5,1,1,1,2
3,1,6.77,1,3,2,16.76,6,1,1,1,2
2,3,7.46,1,5,4,20.97,5,1,1,1,3
4,2,6.68,2,0,1,18.65,5,1,1,1,5
4,2,7.42,3,2,0,15.96,3,1,1,1,5
4,3,8.68,1,2,2,21.53,5,1,1,1,5
4,1,6.94,0,3,1,14.46,5,1,1,1,5
2,3,4.81,1,4,1,15.8,5,1,1,1,3
4,1,5.89,3,2,0,18.23,5,1,1,1,5
3,3,7.97,0,1,2,17.1,6,1,1,1,2
4,2,6.88,1,1,1,14.74,5,1,1,1,5
3,2,7.68,3,3,1,15.03,5,1,1,1,2
1,2,6.82,2,4,3,17.97,6,1,1,1,3
4,1,8.14,2,2,2,19.03,6,1,1,1,5
3,3,5.5,1,3,1,17.69,6,1,1,1,2
4,1,7.64,1,4,1,15.55,4,1,1,1,5
1,1,9.32,2,2,3,20.9,7,1,1,1,3
4,2,9.53,0,3,1,15.33,4,1,1,1,5
3,1,7.67,1,4,2,17.61,6,1,1,1,2
3,1,8.07,2,2,0,15.75,5,1,1,1,2
4,1,6.8,0,3,3,13.31,5,1,1,1,5
2,1,6.58,0,3,1,16.6,6,1,1,1,3
4,1,6.27,1,5,1,12.41,4,1,1,1,5
3,2,6.64,1,2,0,16.61,5,1,1,1,2
3,1,8.71,0,2,1,17.89,6,1,1,1,2
4,3,7.81,2,4,1,23.08,6,1,1,1,5
4,1,6.97,1,2,0,18.02,6,1,1,1,5
4,1,6.97,0,2,1,14.13,5,1,1,1,5
3,3,7.83,1,5,2,20.65,6,1,1,1,2
4,1,6.72,3,3,1,18.01,5,1,1,1,5
4,1,6.17,1,1,2,15.85,6,1,1,1,5
2,3,7.75,1,2,1,21.56,6,1,1,1,3
4,1,7.87,1,2,3,15.81,6,1,1,1,5
4,2,6.66,2,1,3,19.24,6,1,1,1,5
3,3,5.7,1,2,2,16.88,5,1,1,1,2
4,3,6.82,1,2,3,18.71,5,1,1,1,5
3,2,9.06,1,2,2,17.49,4,1,1,1,2
3,1,4.41,0,0,0,14.24,5,1,1,1,2
4,1,7.26,2,3,1,18.04,6,1,1,1,5
4,3,7.43,3,4,0,19.73,5,1,1,1,5
3,1,6.17,1,3,0,17.33,6,1,1,1,2
2,1,7.48,1,3,1,20.19,6,1,1,1,3
4,3,7.11,0,2,0,18.55,5,1,1,1,5
3,2,8.19,0,4,2,20.97,6,1,1,1,2
3,2,8.67,0,1,3,18.32,6,1,1,1,2
4,1,6.75,0,2,0,15.1,5,1,1,1,5
1,2,5.52,1,2,2,15.52,5,1,1,1,3
4,3,5.96,1,4,2,15.91,6,1,1,1,5
3,1,6.57,2,2,1,14.39,6,1,1,1,2
4,2,8.12,0,3,1,17.74,6,1,1,1,5
2,2,7.38,1,5,1,16.28,5,1,1,1,3
2,2,6.66,2,4,1,17.18,5,1,1,1,3
4,1,6.5,1,2,2,10.63,4,1,1,1,5
3,3,6.89,0,4,2,19.68,6,1,1,1,2
4,1,7.07,1,2,3,15.36,6,1,1,1,5
3,1,5.79,0,2,0,13.7,5,1,1,1,2
4,1,5.07,1,2,2,13.74,5,1,1,1,5
1,1,7.46,1,3,3,16.6,5,1,1,1,3
1,1,6.64,1,1,1,15.07,6,1,1,1,3
3,3,6.92,0,4,0,16.45,6,1,1,1,2
4,1,6.94,1,5,0,16.95,6,1,1,1,5
1,3,7.43,0,3,0,18.67,6,1,1,1,3
2,1,6.15,1,1,3,9.0,4,0,1,1,3
1,3,6.99,0,3,0,20.0,6,1,1,1,3
3,1,7.09,1,3,1,14.47,5,1,1,1,2
4,3,7.89,1,2,1,19.6,5,1,1,1,5
3,3,6.42,1,3,1,15.86,6,1,1,1,2
2,2,7.57,1,5,3,20.47,7,1,1,1,3
1,3,8.47,0,2,1,17.84,6,1,1,1,3
3,2,5.25,0,1,1,13.67,5,1,1,1,2
2,1,7.75,1,1,0,13.51,5,1,1,1,3
4,1,6.96,0,2,3,15.31,6,1,1,1,5
2,1,8.77,3,4,1,17.15,5,1,1,1,3
4,1,5.1,2,4,3,17.2,6,1,1,1,5
2,3,8.73,1,2,3,17.72,4,1,1,1,3
4,2,6.69,0,3,1,15.88,6,1,1,1,5
4,2,7.57,2,0,1,19.13,7,1,1,1,5
3,2,7.37,0,1,4,18.91,7,1,1,1,2
3,2,7.65,0,2,1,15.51,5,1,1,1,2
3,1,8.39,3,3,2,19.97,6,1,1,1,2
3,1,7.07,0,2,3,13.06,5,1,1,1,2
4,2,8.67,1,3,0,16.65,5,1,1,1,5
4,2,6.82,1,1,2,15.07,6,1,1,1,5
4,2,7.5,2,1,3,18.47,6,1,1,1,5
4,2,6.76,1,0,4,16.5,6,1,1,1,5
3,1,7.99,1,2,3,19.96,7,1,1,1,2
4,2,8.37,2,5,2,19.37,6,1,1,1,5
4,2,8.14,2,3,2,17.19,5,1,1,1,5
3,2,8.09,1,5,0,16.11,6,1,1,1,2
3,3,7.79,0,3,4,17.85,6,1,1,1,2
4,1,5.98,0,4,1,13.64,6,1,1,1,5
2,2,6.75,1,3,1,15.91,5,1,1,1,3
4,3,6.79,3,2,1,20.37,5,1,1,1,5
2,1,7.94,2,1,1,20.23,6,1,1,1,3
2,1,7.21,2,3,1,13.76,4,1,1,1,3
4,1,7.09,0,2,3,15.39,6,1,1,1,5
4,2,7.86,1,1,1,19.83,6,1,1,1,5
4,2,8.14,2,1,2,17.48,5,1,1,1,5
3,2,7.31,1,4,1,14.51,5,1,1,1,2
4,2,6.95,0,2,2,13.57,5,1,1,1,5
2,2,7.26,0,3,1,12.52,5,1,1,1,3
4,1,7.26,2,1,1,19.82,6,1,1,1,5
4,3,7.19,1,5,2,21.25,6,1,1,1,5
4,2,7.61,1,3,2,18.73,6,1,1,1,5
3,2,7.44,2,3,3,15.66,5,1,1,1,2
4,1,5.81,1,4,2,12.96,6,1,1,1,5
1,1,6.89,0,3,0,18.16,6,1,1,1,3
4,1,7.24,0,0,3,14.35,6,1,1,1,5
3,1,6.23,2,5,1,18.54,5,1,1,1,2
2,2,7.52,1,2,3,16.89,6,1,1,1,3
4,2,7.63,0,3,1,18.08,7,1,1,1,5
4,1,7.57,0,3,2,16.57,6,1,1,1,5
3,1,7.06,0,4,1,14.24,6,1,1,1,2
2,1,6.65,1,1,2,12.77,5,1,1,1,3
3,2,7.56,2,2,2,16.52,6,1,1,1,2
3,3,8.12,1,5,2,18.06,5,1,1,1,2
3,1,6.64,2,4,1,14.33,5,1,1,1,2
3,1,7.42,0,3,1,20.03,7,1,1,1,2
2,2,8.12,0,4,1,18.47,6,1,1,1,3
2,1,6.37,3,2,1,16.76,6,1,1,1,3
2,2,8.15,1,3,1,18.04,5,1,1,1,3
4,2,7.7,1,3,1,21.72,6,1,1,1,5
4,2,7.94,1,1,1,14.41,5,1,1,1,5
4,2,7.09,2,5,1,21.13,7,1,1,1,5
4,2,8.14,0,3,3,13.42,5,1,1,1,5
4,1,7.41,0,1,4,16.03,6,1,1,1,5
4,2,6.65,1,5,2,17.99,6,1,1,1,5
3,2,7.88,1,4,1,13.23,5,1,1,1,2
2,3,6.85,2,3,1,19.18,6,1,1,1,3
4,1,6.92,3,2,0,18.7,6,1,1,1,5
2,1,7.19,3,1,1,20.65,5,1,1,1,3
2,1,8.09,2,2,2,17.56,5,1,1,1,3
2,1,6.44,1,1,1,16.4,6,1,1,1,3
3,3,9.9,2,4,2,22.85,5,1,1,1,2
4,2,8.64,1,5,3,16.67,5,1,1,1,5
3,1,8.61,0,2,4,15.45,5,1,1,1,2
3,1,9.43,0,2,0,14.15,5,1,1,1,2
4,2,7.01,0,1,3,12.57,4,1,1,1,5
3,1,5.43,2,2,2,17.32,5,1,1,1,2
4,1,5.91,0,0,1,16.44,6,1,1,1,5
2,1,7.7,0,2,2,15.78,6,1,1,1,3
2,2,8.04,2,4,3,22.01,6,1,1,1,3
3,2,6.44,1,3,1,13.22,5,1,1,1,2
2,2,7.36,1,3,2,18.9,6,1,1,1,3
2,3,8.23,1,3,1,19.38,5,1,1,1,3
1,1,8.09,1,5,1,14.22,4,1,1,1,3
1,1,5.64,0,4,1,15.68,5,1,1,1,3
1,2,7.47,0,5,3,15.67,5,1,1,1,3
4,2,8.67,0,5,2,11.88,4,1,1,1,5
4,1,7.16,2,3,0,16.6,5,1,1,1,5
4,2,6.43,3,3,1,20.21,6,1,1,1,5
4,1,6.41,1,3,4,17.45,6,1,1,1,5
4,1,6.99,1,2,1,11.35,5,1,1,1,5
3,2,6.6,3,2,1,21.23,6,1,1,1,2
4,2,8.87,0,2,3,15.48,5,1,1,1,5
4,1,8.07,1,1,2,17.81,6,1,1,1,5
3,2,7.88,0,2,3,16.04,5,1,1,1,2
3,1,7.76,0,3,1,14.84,5,1,1,1,2
4,1,7.93,1,0,2,16.44,5,1,1,1,5
3,3,6.91,2,4,3,15.17,5,1,1,1,2
4,2,6.18,1,1,3,15.28,6,1,1,1,5
4,2,7.99,0,4,2,15.89,6,1,1,1,5
1,2,7.8,3,2,1,18.59,5,1,1,1,3
2,3,8.78,3,4,0,21.99,6,1,1,1,3
3,2,7.22,2,4,0,17.57,6,1,1,1,2
4,3,7.12,3,2,1,18.12,6,1,1,1,5
2,2,6.38,0,4,1,10.94,5,1,1,1,3
4,1,6.99,1,2,1,13.38,5,1,1,1,5
4,2,8.47,0,1,1,16.6,6,1,1,1,5
4,2,7.15,3,1,1,20.6,6,1,1,1,5
1,1,6.62,1,1,0,18.31,5,1,1,1,3
4,1,5.8,0,3,2,15.97,6,1,1,1,5
3,2,7.1,0,2,1,14.91,5,1,1,1,2
4,3,6.92,0,2,1,16.44,5,1,1,1,5
3,1,7.09,3,4,1,20.72,5,1,1,1,2
4,1,6.57,0,2,2,15.38,6,1,1,1,5
4,3,7.4,1,4,3,20.84,7,1,1,1,5
1,1,5.74,1,3,2,16.9,5,1,1,1,3
2,2,7.53,2,1,0,16.79,6,1,1,1,3
3,2,7.72,1,2,1,13.76,4,1,1,1,2
3,3,7.13,0,1,1,18.03,5,1,1,1,2
4,2,8.53,1,3,3,16.16,6,1,1,1,5
4,2,6.86,0,4,1,18.94,7,1,1,1,5
4,2,7.36,3,5,3,16.95,5,1,1,1,5
4,1,7.09,0,1,1,14.56,5,1,1,1,5
2,2,6.46,1,1,1,16.95,5,1,1,1,3
4,2,6.82,3,0,0,20.27,5,1,1,1,5
2,2,6.7,2,4,4,18.88,6,1,1,1,3
3,1,5.37,1,4,1,14.2,5,1,1,1,2
4,2,7.89,1,3,4,19.68,6,1,1,1,5
4,1,6.37,1,2,1,15.98,6,1,1,1,5
3,2,8.8,0,4,1,17.28,6,1,1,1,2
4,1,8.16,0,2,0,15.26,5,1,1,1,5
4,1,6.81,0,0,1,10.4,5,1,1,1,5
3,2,7.56,1,2,3,16.93,5,1,1,1,2
4,3,6.07,0,2,4,17.72,5,1,1,1,5
4,2,7.8,0,3,4,15.92,5,1,1,1,5
1,1,7.17,1,1,0,19.38,5,1,1,1,3
3,1,6.61,2,2,1,16.55,5,1,1,1,2
4,2,5.87,1,1,3,18.56,5,1,1,1,5
1,1,5.78,2,3,0,14.94,5,1,1,1,3
4,3,6.09,2,2,1,19.72,6,1,1,1,5
3,1,6.04,0,2,4,13.51,6,1,1,1,2
4,1,6.8,1,1,3,18.22,7,1,1,1,5
2,2,6.49,1,4,3,19.41,7,1,1,1,3
2,1,6.92,0,2,1,17.88,5,1,1,1,3
1,2,6.57,0,3,2,17.17,5,1,1,1,3
4,2,7.4,3,2,0,19.9,5,1,1,1,5
4,3,7.59,1,1,2,15.7,5,1,1,1,5
2,2,7.04,1,2,1,16.71,6,1,1,1,3
4,1,6.92,0,0,1,12.88,5,1,1,1,5
4,2,8.47,1,4,4,17.66,5,1,1,1,5
2,1,8.66,0,4,1,20.09,6,1,1,1,3
1,1,5.59,1,2,2,18.54,6,1,1,1,3
3,1,6.63,0,1,0,16.08,6,1,1,1,2
4,1,6.86,0,1,1,16.61,6,1,1,1,5
1,2,6.13,1,2,1,17.99,6,1,1,1,3
4,3,8.09,0,2,1,14.52,4,1,1,1,5
1,1,6.34,2,2,0,20.04,6,1,1,1,3
4,1,6.69,1,1,1,13.46,5,1,1,1,5
1,2,7.72,0,2,2,14.13,6,1,1,1,3
4,2,7.67,0,3,0,12.08,4,1,1,1,5
2,3,8.07,1,4,1,18.3,4,1,1,1,3
1,2,7.83,0,3,1,19.63,6,1,1,1,3
3,2,6.88,2,3,2,19.37,5,1,1,1,2
3,2,7.85,0,2,4,13.69,5,1,1,1,2
2,1,6.97,1,3,2,15.85,5,1,1,1,3
4,1,6.78,0,3,1,13.5,6,1,1,1,5
3,1,6.76,1,3,2,16.32,5,1,1,1,2
1,1,6.91,1,1,0,12.6,4,1,1,1,3
4,2,7.26,1,2,0,18.76,6,1,1,1,5
2,1,7.58,0,4,0,15.42,5,1,1,1,3
3,3,8.72,1,2,2,19.6,5,1,1,1,2
4,2,6.71,1,1,1,15.92,6,1,1,1,5
2,1,7.03,1,1,0,17.1,5,1,1,1,3
3,2,6.37,1,3,3,16.3,6,1,1,1,2
2,1,8.57,1,0,3,18.81,6,1,1,1,3
4,3,7.58,2,3,2,18.07,4,1,1,1,5
1,1,6.34,2,1,1,13.67,5,1,1,1,3
3,2,7.45,1,3,1,15.31,5,1,1,1,2
4,2,9.06,0,4,0,20.72,5,1,1,1,5
3,2,4.21,2,2,2,14.06,5,1,1,1,2
1,3,7.44,1,1,1,17.43,5,1,1,1,3
3,2,6.54,0,5,3,15.9,6,1,1,1,2
1,2,8.35,0,2,3,11.95,5,1,1,1,3
4,3,8.33,0,2,3,20.21,6,1,1,1,5
4,1,7.23,3,0,3,15.8,4,1,1,1,5
4,1,7.06,0,1,0,14.5,6,1,1,1,5
1,2,6.36,0,5,0,17.0,6,1,1,1,3
2,1,8.0,0,4,1,16.31,5,1,1,1,3
3,1,6.08,1,2,2,14.03,5,1,1,1,2
4,2,8.99,1,2,0,17.85,6,1,1,1,5
4,2,9.33,2,1,3,17.56,5,1,1,1,5
2,2,6.26,2,1,3,19.41,6,1,1,1,3
2,3,6.33,0,4,2,18.28,5,1,1,1,3
3,3,7.1,0,3,2,13.65,4,1,1,1,2
4,2,7.74,3,1,3,20.11,4,1,1,1,5
4,1,7.69,2,2,1,17.78,5,1,1,1,5
2,2,7.26,3,3,1,19.78,6,1,1,1,3
1,2,6.81,0,5,3,13.69,5,1,1,1,3
4,3,9.24,0,1,0,22.34,6,1,1,1,5
4,3,5.59,2,4,1,20.14,6,1,1,1,5
4,1,8.2,1,4,3,21.57,7,1,1,1,5
1,1,5.2,1,4,3,14.59,5,1,1,1,3
2,3,7.34,2,3,2,18.4,5,1,1,1,3
3,1,7.94,0,3,3,15.8,6,1,1,1,2
2,1,7.11,2,2,2,20.07,6,1,1,1,3
3,1,6.27,2,1,0,15.66,5,1,1,1,2
2,2,7.53,1,1,1,18.86,6,1,1,1,3
4,2,5.55,3,2,2,17.46,5,1,1,1,5
4,1,6.96,0,3,1,17.15,5,1,1,1,5
2,3,7.22,1,4,3,22.12,6,1,1,1,3
2,1,8.59,0,0,2,17.02,5,1,1,1,3
4,2,6.57,1,3,2,17.83,6,1,1,1,5
3,1,7.55,1,5,0,19.41,6,1,1,1,2
4,1,6.95,1,2,3,17.85,6,1,1,1,5
4,1,7.6,2,1,2,18.19,5,1,1,1,5
4,3,6.77,3,2,2,21.91,5,1,1,1,5
3,1,7.52,0,1,3,13.96,5,1,1,1,2
2,2,5.98,1,3,2,16.84,6,1,1,1,3
3,1,7.4,1,4,1,17.42,6,1,1,1,2
2,1,7.6,0,5,1,17.96,7,1,1,1,3
4,3,8.49,2,3,1,20.85,5,1,1,1,5
3,1,7.92,1,3,0,14.05,5,1,1,1,2
3,2,6.94,2,1,2,19.07,5,1,1,1,2
4,2,7.09,3,2,2,19.85,5,1,1,1,5
2,2,8.2,1,2,1,18.17,6,1,1,1,3
3,2,8.62,2,2,4,20.09,6,1,1,1,2
1,3,7.44,1,2,1,17.1,6,1,1,1,3
3,3,7.71,0,2,1,18.12,6,1,1,1,2
4,2,7.01,0,1,1,17.48,6,1,1,1,5
4,2,9.62,1,4,2,19.99,6,1,1,1,5
4,2,7.68,2,4,2,14.29,5,1,1,1,5
3,3,7.8,2,3,1,17.3,5,1,1,1,2
2,1,6.52,3,2,0,17.99,5,1,1,1,3
4,2,6.58,2,2,3,19.9,7,1,1,1,5
3,3,8.37,1,2,1,20.2,5,1,1,1,2
4,2,8.09,1,2,1,18.63,6,1,1,1,5
4,1,6.32,3,2,2,18.47,6,1,1,1,5
4,1,7.58,1,3,0,20.02,6,1,1,1,5
2,2,6.41,1,4,1,13.56,4,1,1,1,3
4,2,6.68,0,4,1,15.43,5,1,1,1,5
3,3,7.3,3,1,2,25.07,7,1,1,1,2
2,2,8.48,0,3,1,17.93,6,1,1,1,3
3,2,7.31,3,2,2,17.04,5,1,1,1,2
4,1,7.68,1,2,1,17.18,6,1,1,1,5
4,2,5.79,3,1,2,16.84,5,1,1,1,5
4,2,7.99,1,2,1,16.41,5,1,1,1,5
4,2,7.17,1,3,1,14.62,4,1,1,1,5
3,2,8.08,1,2,1,16.26,5,1,1,1,2
4,2,6.11,3,1,3,19.31,6,1,1,1,5
4,2,6.65,0,1,4,12.7,5,1,1,1,5
4,3,9.63,1,3,0,19.88,5,1,1,1,5
3,3,7.52,2,3,1,20.06,6,1,1,1,2
2,2,5.46,1,1,1,14.96,5,1,1,1,3
2,1,7.24,2,4,2,13.86,4,1,1,1,3
3,2,7.96,1,1,0,15.4,4,1,1,1,2
2,2,8.47,3,3,1,21.11,5,1,1,1,3
4,2,7.05,3,3,1,17.22,5,1,1,1,5
4,2,9.17,1,0,1,17.52,6,1,1,1,5
3,1,7.45,3,1,3,20.7,6,1,1,1,2
3,1,8.97,2,3,2,17.26,4,1,1,1,2
4,2,7.2,0,1,0,16.44,6,1,1,1,5
4,1,6.83,0,4,0,16.78,6,1,1,1,5
2,2,6.28,1,3,1,14.19,5,1,1,1,3
2,1,5.65,1,4,2,14.21,5,1,1,1,3
4,2,7.0,3,4,2,20.18,5,1,1,1,5
3,1,6.1,1,2,1,17.14,6,1,1,1,2
3,1,6.37,0,3,2,13.45,5,1,1,1,2
4,3,7.23,1,4,1,21.54,6,1,1,1,5
3,1,6.91,2,1,0,21.17,6,1,1,1,2
4,1,6.75,0,0,1,15.13,6,1,1,1,5
4,2,5.88,2,2,1,17.04,5,1,1,1,5
4,1,8.8,2,4,3,16.1,5,1,1,1,5
2,2,8.27,2,1,3,19.96,5,1,1,1,3
4,2,8.85,1,2,4,18.01,5,1,1,1,5
2,3,7.49,2,1,1,20.69,6,1,1,1,3
4,2,6.41,0,4,0,13.79,5,1,1,1,5
2,3,8.54,3,2,0,24.8,6,1,1,1,3
4,2,8.59,0,3,4,18.14,6,1,1,1,5
3,1,6.9,1,3,3,16.92,6,1,1,1,2
3,2,6.62,0,1,0,16.76,6,1,1,1,2
3,2,6.57,2,1,3,20.42,6,1,1,1,2
4,3,7.24,2,5,0,16.3,5,1,1,1,5
4,2,9.46,1,2,1,20.96,6,1,1,1,5
4,3,8.06,1,2,0,19.4,6,1,1,1,5
4,1,7.06,1,3,3,16.39,6,1,1,1,5
3,1,5.65,2,0,1,14.43,5,1,1,1,2
4,2,5.98,0,1,2,16.96,5,1,1,1,5
4,3,8.27,1,2,3,19.37,6,1,1,1,5
2,2,6.17,2,3,1,17.52,6,1,1,1,3
2,2,7.06,2,2,1,19.03,6,1,1,1,3
4,2,7.53,2,3,1,20.03,6,1,1,1,5
3,1,7.04,3,2,2,23.86,6,1,1,1,2
4,2,7.53,0,3,1,18.3,6,1,1,1,5
3,2,6.76,3,3,1,18.52,6,1,1,1,2
4,3,8.43,3,2,3,24.05,6,1,1,1,5
3,2,7.73,2,2,1,18.23,6,1,1,1,2
1,1,9.39,2,2,0,17.99,5,1,1,1,3
2,3,8.01,2,2,3,20.16,5,1,1,1,3
4,1,5.63,2,1,2,19.53,6,1,1,1,5
4,3,9.4,3,3,2,26.29,6,1,1,1,5
3,2,7.44,1,2,1,14.91,4,1,1,1,2
2,2,6.91,1,2,0,12.25,4,1,1,1,3
4,2,9.82,0,4,2,17.26,5,1,1,1,5
4,3,7.67,1,2,2,22.91,6,1,1,1,5
3,2,7.48,3,3,1,21.07,6,1,1,1,2
2,1,7.41,3,2,2,16.43,4,1,1,1,3
4,1,7.23,2,3,3,21.44,6,1,1,1,5
2,3,6.38,1,4,0,14.99,5,1,1,1,3
2,2,8.06,3,1,0,18.9,4,1,1,1,3
4,2,8.06,3,2,4,17.37,5,1,1,1,5
3,1,8.16,2,2,0,14.62,4,1,1,1,2
4,3,7.9,2,4,3,22.22,6,1,1,1,5
3,3,10.0,1,1,4,25.04,6,1,1,1,2
4,1,9.93,1,3,0,19.89,5,1,1,1,5
3,2,7.61,0,3,0,15.11,6,1,1,1,2
4,1,6.46,1,5,0,18.04,5,1,1,1,5
2,2,7.1,1,0,2,17.34,5,1,1,1,3
3,3,8.5,0,2,0,16.9,5,1,1,1,2
1,1,7.7,3,5,0,23.64,6,1,1,1,3
4,2,8.26,3,4,2,20.97,6,1,1,1,5
